Timestamp,X,Y,Z,timestamp
11-Sep-2023 17:00:14.599,8.907826,-0.305814,-3.902984,81.635000000002
11-Sep-2023 17:00:14.609,8.904084,-0.316292,-3.905079,81.6449999999968
11-Sep-2023 17:00:14.619,8.917107,-0.338746,-3.909869,81.6549999999988
11-Sep-2023 17:00:14.629,8.910371,-0.348924,-3.922593,81.6650000000009
11-Sep-2023 17:00:14.639,8.893606,-0.362546,-3.918402,81.6750000000029
11-Sep-2023 17:00:14.649,8.889714,-0.34638,-3.911815,81.6849999999977
11-Sep-2023 17:00:14.659,8.895252,-0.354313,-3.905528,81.6949999999997
11-Sep-2023 17:00:14.669,8.903784,-0.354762,-3.902235,81.7050000000017
11-Sep-2023 17:00:14.679,8.882379,-0.336949,-3.898942,81.7149999999965
11-Sep-2023 17:00:14.689,8.899294,-0.338895,-3.884422,81.7249999999985
11-Sep-2023 17:00:14.699,8.877739,-0.332608,-3.88532,81.7350000000006
11-Sep-2023 17:00:14.709,8.882678,-0.323627,-3.888464,81.7450000000026
11-Sep-2023 17:00:14.719,8.884325,-0.333207,-3.889212,81.7549999999974
11-Sep-2023 17:00:14.729,8.894204,-0.339045,-3.878435,81.7649999999994
11-Sep-2023 17:00:14.739,8.898695,-0.333806,-3.876489,81.7750000000015
11-Sep-2023 17:00:14.749,8.88657,-0.336051,-3.888015,81.7850000000035
11-Sep-2023 17:00:14.759,8.914861,-0.333357,-3.879183,81.7949999999983
11-Sep-2023 17:00:14.769,8.916209,-0.329016,-3.891607,81.8050000000003
11-Sep-2023 17:00:14.779,8.913664,-0.330363,-3.887566,81.8150000000023
11-Sep-2023 17:00:14.789,8.894953,-0.320484,-3.888314,81.8249999999971
11-Sep-2023 17:00:14.799,8.91082,-0.32198,-3.884572,81.8349999999991
11-Sep-2023 17:00:14.809,8.898545,-0.32243,-3.886368,81.8450000000012
11-Sep-2023 17:00:14.819,8.892558,-0.33186,-3.882177,81.8550000000032
11-Sep-2023 17:00:14.829,8.883726,-0.323328,-3.867507,81.864999999998
11-Sep-2023 17:00:14.839,8.892708,-0.313897,-3.873495,81.875
11-Sep-2023 17:00:14.849,8.918155,-0.320034,-3.871699,81.885000000002
11-Sep-2023 17:00:14.859,8.895103,-0.331411,-3.872597,81.8949999999968
11-Sep-2023 17:00:14.869,8.909622,-0.327968,-3.867807,81.9049999999988
11-Sep-2023 17:00:14.879,8.918753,-0.323178,-3.870801,81.9150000000009
11-Sep-2023 17:00:14.889,8.90603,-0.328417,-3.879183,81.9250000000029
11-Sep-2023 17:00:14.899,8.917107,-0.343536,-3.892356,81.9349999999977
11-Sep-2023 17:00:14.909,8.912616,-0.323777,-3.885171,81.9449999999997
11-Sep-2023 17:00:14.919,8.919651,-0.324825,-3.870801,81.9550000000017
11-Sep-2023 17:00:14.929,8.909024,-0.341889,-3.86616,81.9649999999965
11-Sep-2023 17:00:14.939,8.902138,-0.354313,-3.869304,81.9749999999985
11-Sep-2023 17:00:14.949,8.898845,-0.329914,-3.875142,81.9850000000006
11-Sep-2023 17:00:14.959,8.90618,-0.33665,-3.858077,81.9950000000026
11-Sep-2023 17:00:14.969,8.902737,-0.350421,-3.863616,82.0049999999974
11-Sep-2023 17:00:14.979,8.919352,-0.339943,-3.85179,82.0149999999994
11-Sep-2023 17:00:14.989,8.924891,-0.343685,-3.842959,82.0250000000015
11-Sep-2023 17:00:14.999,8.921897,-0.336051,-3.844006,82.0350000000035
11-Sep-2023 17:00:15.009,8.938213,-0.337099,-3.833828,82.0449999999983
11-Sep-2023 17:00:15.019,8.922346,-0.327818,-3.84685,82.0550000000003
11-Sep-2023 17:00:15.029,8.921747,-0.314795,-3.844306,82.0650000000023
11-Sep-2023 17:00:15.039,8.921897,-0.320783,-3.841312,82.0749999999971
11-Sep-2023 17:00:15.050,8.928783,-0.317939,-3.82784,82.086000000003
11-Sep-2023 17:00:15.060,8.914861,-0.305964,-3.815715,82.0959999999977
11-Sep-2023 17:00:15.070,8.919502,-0.319585,-3.831432,82.1059999999998
11-Sep-2023 17:00:15.080,8.923244,-0.322879,-3.82784,82.1160000000018
11-Sep-2023 17:00:15.090,8.930878,-0.341739,-3.832031,82.1259999999966
11-Sep-2023 17:00:15.100,8.929082,-0.34144,-3.817661,82.1359999999986
11-Sep-2023 17:00:15.110,8.941057,-0.324226,-3.842809,82.1460000000006
11-Sep-2023 17:00:15.120,8.932225,-0.340093,-3.83248,82.1560000000027
11-Sep-2023 17:00:15.130,8.945847,-0.337997,-3.834576,82.1659999999974
11-Sep-2023 17:00:15.140,8.932824,-0.329315,-3.819308,82.1759999999995
11-Sep-2023 17:00:15.150,8.901988,-0.333956,-3.823948,82.1860000000015
11-Sep-2023 17:00:15.160,8.902138,-0.334704,-3.824846,82.1960000000036
11-Sep-2023 17:00:15.170,8.896899,-0.334405,-3.835324,82.2059999999983
11-Sep-2023 17:00:15.180,8.916358,-0.3365,-3.838468,82.2160000000003
11-Sep-2023 17:00:15.190,8.934022,-0.34144,-3.83727,82.2260000000024
11-Sep-2023 17:00:15.200,8.9442,-0.338147,-3.846102,82.2359999999971
11-Sep-2023 17:00:15.210,8.924891,-0.304018,-3.825744,82.2459999999992
11-Sep-2023 17:00:15.220,8.935069,-0.305814,-3.814967,82.2560000000012
11-Sep-2023 17:00:15.230,8.923543,-0.309257,-3.795657,82.2660000000033
11-Sep-2023 17:00:15.240,8.9204,-0.319436,-3.798351,82.275999999998
11-Sep-2023 17:00:15.250,8.953331,-0.328567,-3.807482,82.2860000000001
11-Sep-2023 17:00:15.260,8.954978,-0.339195,-3.809578,82.2960000000021
11-Sep-2023 17:00:15.270,8.970995,-0.329914,-3.807033,82.3059999999969
11-Sep-2023 17:00:15.279,8.971593,-0.335153,-3.788622,82.3159948730463
11-Sep-2023 17:00:15.290,8.98297,-0.333656,-3.785628,82.3260000000009
11-Sep-2023 17:00:15.300,8.964408,-0.339644,-3.782035,82.336000000003
11-Sep-2023 17:00:15.310,8.956026,-0.356109,-3.785179,82.3459999999977
11-Sep-2023 17:00:15.320,8.928633,-0.361349,-3.797453,82.3559999999998
11-Sep-2023 17:00:15.330,8.908425,-0.361049,-3.801644,82.3660000000018
11-Sep-2023 17:00:15.340,8.89166,-0.352367,-3.79401,82.3759999999966
11-Sep-2023 17:00:15.350,8.883876,-0.334255,-3.796405,82.3859999999986
11-Sep-2023 17:00:15.360,8.87729,-0.318538,-3.802094,82.3960000000006
11-Sep-2023 17:00:15.370,8.895851,-0.30761,-3.812272,82.4060000000027
11-Sep-2023 17:00:15.380,8.920999,-0.313748,-3.81362,82.4159999999974
11-Sep-2023 17:00:15.390,8.947943,-0.324675,-3.816015,82.4259999999995
11-Sep-2023 17:00:15.400,8.958571,-0.347428,-3.81317,82.4360000000015
11-Sep-2023 17:00:15.410,8.956625,-0.342637,-3.80868,82.4460000000036
11-Sep-2023 17:00:15.420,8.962912,-0.331111,-3.819158,82.4559999999983
11-Sep-2023 17:00:15.430,8.968151,-0.339195,-3.803441,82.4660000000003
11-Sep-2023 17:00:15.440,8.9683,-0.353565,-3.790867,82.4760000000024
11-Sep-2023 17:00:15.450,8.956176,-0.363594,-3.791615,82.4859999999971
11-Sep-2023 17:00:15.460,8.947943,-0.363295,-3.781287,82.4959999999992
11-Sep-2023 17:00:15.470,8.911868,-0.363145,-3.779041,82.5060000000012
11-Sep-2023 17:00:15.480,8.921747,-0.356858,-3.782784,82.5160000000033
11-Sep-2023 17:00:15.490,8.923543,-0.35087,-3.790418,82.525999999998
11-Sep-2023 17:00:15.500,8.939111,-0.337398,-3.795208,82.5360000000001
11-Sep-2023 17:00:15.510,8.942404,-0.336949,-3.777245,82.5460000000021
11-Sep-2023 17:00:15.520,8.938512,-0.311203,-3.78443,82.5559999999969
11-Sep-2023 17:00:15.530,8.943452,-0.3127,-3.780239,82.5659999999989
11-Sep-2023 17:00:15.541,8.951984,-0.319136,-3.777844,82.5769999999975
11-Sep-2023 17:00:15.551,8.956475,-0.330812,-3.759432,82.5870053710969
11-Sep-2023 17:00:15.561,8.961115,-0.331411,-3.767066,82.5970000000016
11-Sep-2023 17:00:15.571,8.960367,-0.352367,-3.781736,82.6070000000036
11-Sep-2023 17:00:15.581,8.960067,-0.345631,-3.762875,82.6169999999984
11-Sep-2023 17:00:15.591,8.955876,-0.324375,-3.744763,82.6270000000004
11-Sep-2023 17:00:15.601,8.934321,-0.334854,-3.745511,82.6370000000024
11-Sep-2023 17:00:15.611,8.940608,-0.318238,-3.753145,82.6469999999972
11-Sep-2023 17:00:15.621,8.946595,-0.320034,-3.74596,82.6569999999992
11-Sep-2023 17:00:15.631,8.954379,-0.343087,-3.745361,82.6670000000013
11-Sep-2023 17:00:15.641,8.961115,-0.333656,-3.727399,82.6770000000033
11-Sep-2023 17:00:15.651,8.966953,-0.306562,-3.74596,82.6869999999981
11-Sep-2023 17:00:15.661,8.966055,-0.324375,-3.759432,82.6970000000001
11-Sep-2023 17:00:15.671,8.951685,-0.306113,-3.756289,82.7070000000022
11-Sep-2023 17:00:15.681,8.966803,-0.324825,-3.731889,82.7169999999969
11-Sep-2023 17:00:15.691,8.954529,-0.345931,-3.759133,82.726999999999
11-Sep-2023 17:00:15.701,8.959918,-0.354313,-3.758684,82.737000000001
11-Sep-2023 17:00:15.711,8.941656,-0.350122,-3.76542,82.747000000003
11-Sep-2023 17:00:15.721,8.940608,-0.338297,-3.758085,82.7569999999978
11-Sep-2023 17:00:15.731,8.955726,-0.358654,-3.792962,82.7669999999998
11-Sep-2023 17:00:15.741,8.95902,-0.349972,-3.792064,82.7770000000019
11-Sep-2023 17:00:15.751,8.950787,-0.363295,-3.773054,82.7869999999966
11-Sep-2023 17:00:15.761,8.95887,-0.330513,-3.791166,82.7969999999987
11-Sep-2023 17:00:15.771,8.957373,-0.355511,-3.781436,82.8070000000007
11-Sep-2023 17:00:15.781,8.9445,-0.356409,-3.757935,82.8170000000027
11-Sep-2023 17:00:15.791,8.9445,-0.334554,-3.75105,82.8269999999975
11-Sep-2023 17:00:15.801,8.941057,-0.342637,-3.759881,82.8369999999995
11-Sep-2023 17:00:15.811,8.918155,-0.345931,-3.764971,82.8470000000016
11-Sep-2023 17:00:15.821,8.936866,-0.336949,-3.775599,82.8570000000036
11-Sep-2023 17:00:15.831,8.960816,-0.335752,-3.767964,82.8669999999984
11-Sep-2023 17:00:15.841,8.942853,-0.333207,-3.766917,82.8770000000004
11-Sep-2023 17:00:15.851,8.957822,-0.332908,-3.758534,82.8870000000024
11-Sep-2023 17:00:15.861,8.960517,-0.316592,-3.751349,82.8969999999972
11-Sep-2023 17:00:15.871,8.964408,-0.329465,-3.749104,82.9069999999992
11-Sep-2023 17:00:15.881,8.964408,-0.332459,-3.73668,82.9170000000013
11-Sep-2023 17:00:15.891,8.976234,-0.328716,-3.751199,82.9270000000033
11-Sep-2023 17:00:15.901,8.970546,-0.3368,-3.743865,82.9369999999981
11-Sep-2023 17:00:15.911,8.966504,-0.345033,-3.731889,82.9470000000001
11-Sep-2023 17:00:15.921,8.966803,-0.351918,-3.739374,82.9570000000022
11-Sep-2023 17:00:15.931,8.960816,-0.367635,-3.750002,82.9669999999969
11-Sep-2023 17:00:15.941,8.967103,-0.380808,-3.751349,82.976999999999
11-Sep-2023 17:00:15.951,8.962163,-0.37976,-3.756139,82.987000000001
11-Sep-2023 17:00:15.961,8.963361,-0.379311,-3.783532,82.997000000003
11-Sep-2023 17:00:15.971,8.959918,-0.383503,-3.771258,83.0069999999978
11-Sep-2023 17:00:15.981,8.962013,-0.36539,-3.757486,83.0169999999998
