subject,task,window_id,acc_x_minimum,acc_x_maximum,acc_x_mean,acc_x_std_dev,acc_x_skewness,acc_x_kurtosis,acc_x_dominant_freq,acc_x_dominant_amplitude,acc_y_minimum,acc_y_maximum,acc_y_mean,acc_y_std_dev,acc_y_skewness,acc_y_kurtosis,acc_y_dominant_freq,acc_y_dominant_amplitude,acc_z_minimum,acc_z_maximum,acc_z_mean,acc_z_std_dev,acc_z_skewness,acc_z_kurtosis,acc_z_dominant_freq,acc_z_dominant_amplitude,gyr_x_minimum,gyr_x_maximum,gyr_x_mean,gyr_x_std_dev,gyr_x_skewness,gyr_x_kurtosis,gyr_x_dominant_freq,gyr_x_dominant_amplitude,gyr_y_minimum,gyr_y_maximum,gyr_y_mean,gyr_y_std_dev,gyr_y_skewness,gyr_y_kurtosis,gyr_y_dominant_freq,gyr_y_dominant_amplitude,gyr_z_minimum,gyr_z_maximum,gyr_z_mean,gyr_z_std_dev,gyr_z_skewness,gyr_z_kurtosis,gyr_z_dominant_freq,gyr_z_dominant_amplitude,class
S1,task_2,5,8.109536,8.42987,8.30310143,0.05039947693096726,-0.16209564748670266,0.15887419006939751,27.5,9.958348469418885,-0.421673,-0.166903,-0.29180225,0.041011039001743174,-0.14457968869385007,-0.22798424133425943,13.5,8.610013279580842,-5.168003,-4.902755,-5.05091541875,0.04605781787257619,0.07005185166085921,-0.17959407224364998,1.0,12.766010216413243,-0.029301,0.025356,-0.0018571587500000003,0.009393638800994449,-0.2246608412474631,0.08675632242866671,12.5,1.7254820986120998,-0.026338,0.030527,0.00421767125,0.009232680336211876,-0.03351907576691167,0.03938433466611535,1.0,1.8602825233904468,-0.017635,0.014288,-0.0019445487499999998,0.005794599857636714,0.05550790365169817,-0.3956096668196656,13.5,0.9732635501746789,1
S1,task_2,6,8.091274,8.424182,8.29632427125,0.04935248231203957,-0.08987112821625581,0.46441346792414206,34.0,8.82596283623791,-0.462089,-0.166903,-0.28943417875,0.04500786918505805,-0.2516666160563828,0.25805561637904706,13.5,10.711831844271288,-5.186564,-4.95305,-5.06164867125,0.042979717165637255,-0.13486118451777512,-0.41419202052274695,0.5,11.682731928924225,-0.029272,0.025372,-0.0009152574999999999,0.009287565017198737,-0.14030976237366047,0.0797885594433696,13.5,2.2277580973126656,-0.023118,0.025897,0.004226440000000001,0.008616625520985579,-0.2634851248630116,-0.22161218588626674,34.0,1.2835715781620467,-0.017635,0.014504,-0.0014158262499999999,0.005923202573866687,0.0551117953735822,-0.3158130153569103,13.5,1.5389073090991983,1
S1,task_3,1,8.132439,8.443641,8.2887539475,0.05223883606362462,-0.12888866273728627,-0.1466172105176442,33.5,8.755594562086305,-0.387843,-0.1681,-0.28204253375,0.03882559471928745,0.3781838538521253,-0.06140805253162318,13.5,11.96699893996958,-5.19824,-4.967121,-5.0761417225,0.04504488596614487,-0.04170795167398524,-0.5600210980647606,0.5,9.829230871057481,-0.025537,0.030348,-0.0014985474999999998,0.009442720716257775,0.2532260863232596,0.06848431054971549,13.5,2.7149087776874596,-0.022424,0.02756,0.00474639875,0.008467761877541695,-0.016031698343696322,-0.39365534225072585,33.5,1.2923874737594974,-0.014558,0.013279,-0.0021868725,0.005644377608624688,0.2956374121186727,-0.3813025865276045,13.5,1.770682401702786,0
S1,task_3,2,8.132439,8.41071,8.2740771475,0.050165900944274366,-0.0545980981973809,-0.19779476331079104,31.5,7.17590915115263,-0.37018,-0.155527,-0.2658546425,0.04266654348180426,0.13653543098472154,-0.585392153727128,13.5,13.346401671168305,-5.213059,-4.976851,-5.10120187125,0.04416342598058007,0.20184590205628233,-0.30933577816370716,0.5,9.843717616652048,-0.025537,0.034789,-0.0007826112499999999,0.01057506545216735,0.1171777392618006,-0.25719074979364986,13.5,3.1809730463425403,-0.022424,0.024249,0.00360099,0.008025339944818537,0.015270761353399196,-0.34353973319845643,31.5,1.094466542326442,-0.023587,0.013279,-0.00218574125,0.0062265147742776965,-0.0979399848451252,-0.20859326651951493,13.5,2.10150937363553,0
S1,task_3,3,8.140971,8.427325,8.26836745875,0.04403127219267919,-0.007180851796799407,0.05166978538273481,32.5,7.847909068870858,-0.368534,-0.155527,-0.26372401875,0.039999132120908554,0.12338612298837888,-0.4161913356880995,13.0,11.044797556844236,-5.213059,-4.994214,-5.1092816899999995,0.04064130211153919,0.23636399176578574,-0.3350905779917297,0.5,9.56520276960922,-0.038121,0.034789,-0.0006756912499999999,0.009940761032910077,-0.13574394323463157,0.84635879673624,13.0,2.2510761706022584,-0.019569,0.025202,0.004764104999999999,0.007060334257595387,-0.1652181613199628,-0.008650261884448174,33.5,0.805021553673347,-0.023587,0.014946,-0.00197830375,0.005942483523030244,-0.20645298008613575,0.3516828372379117,13.0,1.6107503243330443,0
S1,task_3,4,8.176597,8.428223,8.281896699999999,0.04311614999855049,0.08443787907229104,-0.024491185373749946,0.5,9.373552937147538,-0.366887,-0.165556,-0.26765315875,0.03510890789776219,0.13158130407550553,-0.25976769324981275,13.0,6.939310300665991,-5.194199,-4.960984,-5.0866491287499995,0.046151498626476634,0.24137383347174432,-0.4486227399474112,0.5,15.633418773781926,-0.038121,0.020414,-0.0009730575,0.008355685385214893,-0.5744453336065194,1.4334322344224004,13.0,1.7503038858327074,-0.018398,0.029077,0.00495305375,0.007239920720274563,0.07983073227388857,0.219950536499256,0.5,1.2419731900167892,-0.017613,0.014946,-0.00183640625,0.005077841326657513,0.10425791784466537,0.24744910702389422,13.0,1.0960416240790383,0
S1,task_3,5,8.151599,8.428223,8.29085034625,0.04341943602948876,-0.08366991379383071,0.06957389033862649,33.0,7.447447804940641,-0.399669,-0.156874,-0.26510995375,0.037067870794552135,-0.005829494813937882,0.19966850631463107,13.5,6.594738637433464,-5.194199,-4.960984,-5.07268204875,0.042732400818189166,0.02949429205747794,-0.3132361473315677,0.5,9.078901378058427,-0.031154,0.020414,-0.00122087625,0.00804540338848438,-0.2845448776278161,0.22104835445899695,7.0,1.6017490731851614,-0.024364,0.029077,0.0042047675000000005,0.007764740985760166,0.023459715007432047,0.23094865697421874,1.0,0.9925617830272903,-0.013533,0.013519,-0.00180536375,0.004987301914506073,0.4032812928699442,-0.08647471021830055,7.0,0.8724241126880193,0
S1,task_3,6,8.151599,8.402926,8.2968532525,0.045713623814255276,-0.14174915157594806,-0.24480681968254592,33.0,9.008321303314363,-0.399669,-0.156874,-0.2628331875,0.03997105708478128,-0.07451925867079451,0.2500053537307365,0.5,8.18670131702059,-5.18851,-4.949607,-5.0626888225,0.03966336339817885,-0.0406404196918716,-0.30407758642801896,0.5,6.674277886203638,-0.035425,0.021319,-0.0016239400000000001,0.0096678286215882,-0.45468717128773606,0.11748050809828214,6.5,2.437211210523898,-0.024364,0.026819,0.00510341,0.007712965313477042,-0.30822483118215027,0.2558215695658248,33.0,1.1191320600238326,-0.014369,0.019089,-0.0016029337500000002,0.005788450317171336,0.6240947612009665,0.24859400962093758,6.5,1.28787618199665,0
S1,task_4,1,8.122709,8.467592,8.28668021375,0.04989486256302409,0.18961831541600074,0.5323314140472681,1.0,12.630023870334986,-0.423918,-0.183668,-0.31045553124999997,0.038839319912287645,-0.1088188486818659,-0.1335099505533126,13.5,7.628543399311808,-5.191654,-4.915927,-5.075994665,0.05069621247162136,0.09027242815896425,-0.4104818217128279,1.0,19.54624757179842,-0.022375,0.03132,-0.0002575999999999999,0.008614137979072543,0.19797684483155503,0.6331801937867336,6.5,1.7794699913963183,-0.035906,0.032618,0.00374861375,0.009538650893709283,0.033275273282202006,0.41041110002690173,1.0,2.8802376047213873,-0.015257,0.012983,-0.00179683375,0.005080953047274786,0.03566083443015339,-0.13406508948290696,6.5,1.0041855325263294,1
S1,task_4,2,8.109536,8.467592,8.2823540125,0.05520244537327894,-0.04987780407058537,0.5104935671696129,1.0,9.31181729026519,-0.420925,-0.186662,-0.30800044,0.04190047806509969,0.0651785432453957,-0.1597108148152273,13.5,11.530253826931881,-5.258116,-4.915927,-5.08337918125,0.05147800871258911,0.1139051112435949,0.18570633128562397,1.0,13.820881787621932,-0.029081,0.023134,-0.0011060012499999998,0.008862890900758535,-0.2959044303517576,0.1563766861805389,13.5,2.458624522276701,-0.035906,0.033245,0.0032721912499999992,0.009694535682907844,-0.21525945955144754,0.07785337980435614,1.5,1.7061765767343395,-0.017916,0.013515,-0.0020157125000000004,0.0052853200699999,0.026035755326352085,-0.169202522790171,13.5,1.6165988110988843,1
